ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000800.SZ,20260518,6.18,0.5305,2.427,1.62,41.976,38.2655,1.1483,0.4852,0.4532,0.8091,0.8091,492128.0975,492083.8183,107568.8282,3041351.6426,3041077.9971
000801.SZ,20260518,13.33,1.4853,2.8523,0.76,75.6212,78.7132,4.3489,3.2949,3.1464,0.755,0.755,101632.4759,101596.8143,52906.0855,1354760.9037,1354285.5346
000803.SZ,20260518,8.4,2.2975,3.3362,0.67,129.2762,85.5728,2.6296,2.7077,2.7273,,,46629.6153,45978.778,31664.5457,391688.7685,386221.7352
600078.SH,20260518,16.22,9.5893,16.4756,0.88,1295.768,152.52,6.4419,3.0526,3.0106,,,67681.2861,66257.2861,38563.8247,1097790.4605,1074693.1805
600080.SH,20260518,5.89,2.545,3.4113,0.53,141.1444,120.3418,1.3798,4.0412,3.9005,0.4813,0.4813,37327.0285,37327.0285,27847.7933,219856.1979,219856.1979
600081.SH,20260518,12.4,3.774,14.9556,2.0,364.0172,300.0607,1.4832,1.093,1.1234,0.4032,0.4032,55302.617,55302.617,13955.4119,685752.4508,685752.4508
600085.SH,20260518,26.3,1.0799,2.271,1.86,30.3266,33.4491,2.5608,2.0902,2.1671,1.9011,1.9011,137147.0262,137147.0262,65216.1722,3606966.7891,3606966.7891
600089.SH,20260518,26.76,2.4782,3.0237,0.44,22.7084,21.9194,1.8791,1.3907,1.3683,0.9282,0.9282,505279.2571,505279.2571,414129.9271,13521272.92,13521272.92
600094.SH,20260518,4.71,1.3701,2.1306,1.11,76.3214,75.8982,1.0655,4.8744,5.6605,,,232495.0045,212622.995,136726.7511,1095051.4712,1001454.3065
600095.SH,20260518,8.88,0.8746,2.8357,0.64,54.7041,57.8274,2.0638,84.8187,150.845,,,285918.7743,285918.7743,88183.9293,2538958.7158,2538958.7158
600096.SH,20260518,31.61,2.219,3.5998,1.0,11.1762,10.8901,2.4145,1.1902,1.2159,5.0617,4.429,182299.0731,182299.0731,112373.6439,5762473.7007,5762473.7007
600097.SH,20260518,10.02,1.5022,2.6273,1.04,32.6709,93.5497,1.0716,1.0332,1.071,0.7984,0.7984,24093.6559,24093.6559,13776.0021,241418.4321,241418.4321
600098.SH,20260518,7.46,1.2085,4.5551,0.85,11.2759,10.8858,0.9413,0.5144,0.506,4.9602,4.9602,350586.4981,350586.4981,93012.056,2615375.2758,2615375.2758
600099.SH,20260518,11.16,2.103,3.6323,0.84,99.5971,96.9583,4.4382,2.1617,2.0614,0.2688,0.2688,21912.0,21912.0,12686.308,244537.92,244537.92
600100.SH,20260518,8.53,1.1658,1.7059,0.52,57.7327,47.6993,1.8022,1.897,1.9259,,,335029.7713,335029.7713,228955.7108,2857803.9492,2857803.9492
600101.SH,20260518,10.06,3.3874,4.9397,0.52,29.9293,29.9097,1.7448,1.8243,1.7915,1.1928,1.5905,54786.2471,54786.2471,37570.2847,551149.6458,551149.6458
600103.SH,20260518,4.55,4.9861,6.8286,0.53,186.4479,260.3604,2.5637,4.2149,4.3193,0.2652,0.2652,224082.6747,221232.9047,161538.6823,1019576.1699,1006609.7164
600104.SH,20260518,12.65,0.4294,1.4135,1.19,14.3893,14.3853,0.4839,0.225,0.2248,0.6914,0.6914,1149527.7504,1149527.7504,349184.8225,14541526.0426,14541526.0426
600105.SH,20260518,51.55,7.696,10.1995,0.65,322.5716,733.9011,22.7128,14.2554,13.3279,0.1649,0.1649,146199.4802,146199.4802,110314.483,7536583.2043,7536583.2043
600106.SH,20260518,5.87,1.2209,1.6744,0.65,68.4289,91.6256,1.4669,69.1036,71.4247,0.6133,0.6133,132902.5062,132902.5062,96903.073,780137.7114,780137.7114
600108.SH,20260518,3.94,2.8226,3.9248,0.79,134.7331,143.8706,1.7695,1.8085,1.8176,0.1396,0.1396,194691.5121,194691.5121,140015.2748,767084.5577,767084.5577
600109.SH,20260518,8.81,0.6115,0.9653,0.57,14.3372,13.6782,0.9039,3.8601,3.627,1.354,1.354,370536.491,370536.491,234723.0305,3264426.4857,3264426.4857
600111.SH,20260518,51.7,3.3951,5.4786,0.65,83.0192,68.2515,7.3055,4.3911,4.1409,0.0677,0.0677,361506.5842,361506.5842,224026.6051,18689890.4031,18689890.4031
600113.SH,20260518,42.43,1.2149,2.6654,0.68,124.0461,127.1491,7.13,23.1033,23.451,0.2829,0.3064,42117.666,41143.116,18753.2086,1787052.5684,1745702.4119
600116.SH,20260518,6.77,1.2175,2.6204,0.75,29.6962,27.393,1.142,1.2725,1.234,1.3162,1.3162,191214.2904,191214.2904,88844.6091,1294520.746,1294520.746
600118.SH,20260518,96.92,3.9541,8.1465,0.69,3223.2149,6751.1236,18.1199,18.7789,18.2776,0.0103,0.0103,118248.9135,118248.9135,57394.7959,11460684.6964,11460684.6964
600120.SH,20260518,5.13,1.0969,2.1882,0.53,18.7456,18.9193,1.068,21.4163,,1.6047,2.2733,341538.1492,341538.1492,171211.5538,1752090.7054,1752090.7054
600455.SH,20260518,29.77,3.1431,3.9587,0.96,41.8691,40.7874,5.4343,6.2017,6.1414,,,6245.8,6245.8,4958.9938,185937.466,185937.466
