ts_code,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025
600322.SH,23186648195.21,20731663089.85,0.0,0.0,10548333.22,0.0,16926800410.19,15845285006.31,0.0,0.0,,0.0,14628730117.42,13894046234.54,0.0,0.0,,0.0,15567664097.09,15054698233.63,0.0,0.0,,0.0,12685694348.87,13012402307.61,0.0,0.0,,0.0
600323.SH,28355547329.53,18469206682.31,0.0,0.0,413104076.2,0.0,32475317583.93,21190651018.19,0.0,0.0,413104076.2,0.0,36143453951.49,23582030585.14,0.0,0.0,413104076.2,0.0,37466342317.39,23653256148.84,0.0,0.0,413104076.2,0.0,62626404751.11,44504796899.33,0.0,0.0,1392103509.47,0.0
600325.SH,352192053281.01,278146381409.59,0.0,0.0,,0.0,391817650035.94,286402515125.58,0.0,0.0,,0.0,445989053176.06,325102798505.04,0.0,0.0,,0.0,437514558343.93,306928950536.4,0.0,0.0,,0.0,401277182149.25,279764419357.09,0.0,0.0,,0.0
600326.SH,13331470223.27,6795618491.04,0.0,0.0,148369982.48,0.0,13789289811.87,7484717999.08,0.0,0.0,148369982.48,0.0,13258608870.56,7514415416.28,0.0,0.0,93935382.48,0.0,12885346295.53,7041365512.7,0.0,0.0,84424847.31,0.0,12486941910.0,6610221824.94,0.0,0.0,68864110.71,0.0
600327.SH,7935577379.19,4270731430.53,0.0,0.0,305937852.33,0.0,5806299763.77,2196985618.79,0.0,0.0,373727604.7,0.0,5860187155.67,2419627931.56,0.0,0.0,373820764.36,0.0,5629544412.34,2126990518.13,0.0,0.0,349022412.37,0.0,5459672004.57,2052008196.79,0.0,0.0,322426471.54,0.0
600328.SH,17204153945.09,9203777775.3,0.0,0.0,567333822.44,0.0,17435861979.34,7539980665.51,0.0,0.0,600290362.8,0.0,18642348114.54,6031549773.54,0.0,0.0,600290362.8,0.0,19002649107.82,5759603649.25,0.0,0.0,600290362.8,0.0,25241703296.44,12369066798.63,0.0,0.0,600290362.8,0.0
600329.SH,9125216847.47,2740712763.39,0.0,0.0,,0.0,9749983806.96,2873984091.71,0.0,0.0,98167629.39,0.0,10281701203.62,3764451442.28,0.0,0.0,84692599.11,0.0,10969529949.24,4515635865.06,0.0,0.0,65910924.33,0.0,11585156807.98,2561059550.26,0.0,0.0,12300566.24,0.0
600330.SH,7962547328.77,2922291836.27,0.0,0.0,98216201.55,0.0,8313715491.64,2732921051.85,0.0,0.0,98216201.55,0.0,11527830958.82,3426680517.48,0.0,0.0,98216201.55,0.0,11796330665.24,3723863336.31,0.0,0.0,102255114.21,0.0,11610604960.32,3553443086.57,0.0,0.0,92044614.21,0.0
600331.SH,2191739170.45,1848271147.55,0.0,0.0,,0.0,2352139109.58,1903093001.95,0.0,0.0,,0.0,2047884154.46,1700355746.34,0.0,0.0,,0.0,2152453151.53,1775689077.34,0.0,0.0,,0.0,3723939959.42,541754680.33,0.0,0.0,,0.0
600332.SH,64588473756.28,33779578927.1,0.0,0.0,825573066.9,0.0,69552608334.32,35673611929.67,0.0,0.0,829473066.9,0.0,74353330761.96,37977384691.7,0.0,0.0,829473066.9,0.0,79255540499.7,41202453235.03,0.0,0.0,830854604.98,0.0,83169260288.03,43185232665.12,0.0,0.0,834090912.89,0.0
600333.SH,5763082882.63,3713972741.2,0.0,0.0,1248980.74,0.0,5826907810.31,3788666682.89,0.0,0.0,1248980.74,0.0,6406038082.17,4460172032.95,0.0,0.0,1248980.74,0.0,6676252374.13,4751871186.91,0.0,0.0,1248980.74,0.0,6637521182.34,4716767679.57,0.0,0.0,1248980.74,0.0
600335.SH,29914761401.43,19447555238.31,0.0,0.0,,0.0,30940224996.45,20200405825.41,0.0,0.0,,0.0,35494693819.63,24169914652.1,0.0,0.0,,0.0,36403764703.7,25255994531.96,0.0,0.0,,0.0,37032097297.68,25504857608.77,0.0,0.0,,0.0
600336.SH,7745148718.93,5163012122.6,0.0,0.0,,0.0,7558802284.41,4854325789.23,0.0,0.0,,0.0,7672139730.84,4889455247.78,0.0,0.0,,0.0,7869344081.95,5155056679.29,0.0,0.0,,0.0,7553061092.8,4919068719.28,0.0,0.0,,0.0
600338.SH,3889566724.29,1253146318.23,0.0,0.0,,0.0,5462020432.26,1718491942.91,0.0,0.0,,0.0,5679209342.06,2142425284.98,0.0,0.0,,0.0,5947625325.78,2182463881.39,0.0,0.0,,0.0,6672168913.52,2261632081.02,0.0,0.0,,0.0
