ts_code,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025
300920.SZ,364075627.01,232092860.43,305762143.69,233961051.67,240019267.23,188782088.28,288615262.49,227181188.68,323729035.07,248919476.15
688106.SH,1233859836.16,852610999.18,1436927330.44,920358753.35,1779908451.55,1095861977.94,1857706991.89,1242990346.88,2030958763.69,1422542659.03
300903.SZ,1636609089.06,1363143506.41,1929150152.78,1639033472.61,2187502517.6,1978464424.45,2476610211.42,2378180666.5,2726704839.67,2536320655.08
688379.SH,904346724.33,771074455.16,880280353.45,803186081.49,1051099899.23,910460291.05,1371210673.79,1164378933.72,1825698631.57,1602334434.71
688580.SH,303313033.64,77747806.53,216579425.15,57646832.32,331773648.23,94802776.0,291757867.37,84368036.05,325530311.85,107877419.58
688060.SH,146617659.2,79931199.72,134903095.83,76951308.43,155754538.0,92701971.38,175930133.46,107715284.84,189217501.74,126830415.51
300977.SZ,541509692.85,321168622.13,420113223.97,278570416.54,348583852.29,213459061.2,337102063.45,211075072.56,326545648.89,211030879.63
600906.SH,1963274221.51,,1434608619.91,,1761457868.77,,1704958065.4,,2071821336.43,
300950.SZ,167413995.28,113791980.2,199660060.93,120373017.91,228761818.17,144508157.08,420940907.85,253552914.24,381838411.92,227609330.26
688508.SH,535549481.68,306245810.01,527512031.24,308730532.71,579954261.17,355832210.51,707229964.16,446362167.55,877352321.23,550912143.93
688600.SH,345861484.77,164668931.26,442852867.02,221821829.28,505074695.64,260411104.96,455704274.66,239505350.95,518793089.2,264078016.99
688602.SH,,,687261243.26,424530004.79,794853975.43,547429305.96,523926281.24,458388910.57,596175238.8,499616181.97
688311.SH,234469670.4,93108824.8,232938757.18,108716105.61,274262360.71,131698895.16,87005718.07,47487587.56,248222145.07,162236533.79
688390.SH,1718711968.38,1124836655.18,2915622242.03,2012268077.27,5650348075.44,3721711413.74,4943394265.8,3806377937.66,6194276239.56,4827385934.77
688155.SH,734981629.35,510895534.93,1127842943.33,899317845.5,1768828157.79,1336583532.1,1842627076.73,1341520724.51,1936832839.86,1392939209.42
688577.SH,405439698.73,265691392.48,449095345.32,297682584.73,465336127.74,339110161.18,544063882.95,405852630.23,607753584.38,454554140.89
688556.SH,972711141.06,650089550.5,2190334543.01,1318652873.55,4210599744.4,2274436312.87,3431650668.26,2643009962.21,2430804231.03,2127291508.41
688585.SH,1495814449.18,1383056617.38,1434044663.71,1266270279.74,1020226565.24,853223362.19,1097244501.02,929706461.69,1279395225.79,1097451732.14
688338.SH,164152824.88,63219174.51,164245829.26,61693514.65,204274725.08,75072816.21,226525212.72,85776966.61,195677500.53,73933601.74
688590.SH,830667821.82,555552549.12,844210364.0,615013499.46,1120747722.27,821594142.1,1384104943.95,1023987522.82,1439116738.66,1055327262.61
688393.SH,327082118.89,71676021.39,374325569.6,104857804.61,354506458.37,109012703.38,352677214.95,111358253.9,252920104.09,89731339.53
300948.SZ,250866223.43,153818275.24,277732391.46,200452678.38,292093023.09,199077163.4,144545894.52,92031667.99,108080526.81,68073329.55
605080.SH,664962570.11,398594917.86,803440999.13,513158980.96,671413916.41,439618241.17,790531638.81,511492080.35,818027106.97,539879511.07
300916.SZ,675121277.49,517054376.01,918326037.34,736930881.95,597962322.71,496438261.63,1223188560.54,1020103106.74,1224561889.05,1032520000.9
003037.SZ,6264928132.8,5370586266.44,4707065174.44,4172032938.74,4982753853.32,4499712316.72,4316210720.78,3895891259.82,4483045871.94,3961158654.42
605028.SH,276568759.01,96877240.39,296063241.26,101680112.6,261970375.89,93541007.72,268196502.32,104891622.07,234991612.97,110321802.36
300998.SZ,525391963.7,429747445.84,487631135.92,408525720.82,659286341.27,555032742.79,632911598.42,538002902.73,903603252.7,766693441.37
300895.SZ,254700821.56,186414902.52,380097764.06,322241977.07,212914563.97,185669279.56,169785872.59,171780146.11,155696973.91,164468190.6
688056.SH,268790694.92,135089877.74,249029652.65,127128861.33,299949773.52,166250340.66,311093406.06,171520297.57,284872833.06,154399423.09
688819.SH,26748970452.09,22162234048.55,30041897252.17,24786434037.33,35063541253.74,28787693339.38,32887588940.8,27431814243.35,33402121903.4,28410147120.54
688559.SH,1026751660.51,737167882.85,2370792650.44,1559555432.14,3361332414.77,2310171774.5,3627399218.97,2681953842.47,2703591273.55,2223455990.35
605589.SH,6360999712.33,4782710115.88,7075389367.98,5635563959.71,6692053741.88,5202862259.35,7151538808.59,5495791979.41,8072261700.36,6065183113.99
301081.SZ,512096892.5,369809324.53,561015187.72,426801775.38,536534305.42,376349169.87,557456940.82,393635178.17,658286985.71,495035955.34
301024.SZ,237105019.28,127034763.42,100314534.23,124421330.62,138785146.07,94534254.75,79229542.22,71596838.51,78013169.45,57485489.98
300961.SZ,422995852.27,257995540.67,379365529.53,250031256.13,338047015.84,234086373.57,311213978.0,187145534.62,264543536.08,191898049.13
301116.SZ,11822253872.33,11437682754.54,13311590128.45,12970890540.16,16572445076.19,16113037675.98,15363120450.17,14612423758.38,13678368705.04,13435825863.33
605089.SH,570394989.51,421929108.47,607295694.25,460339089.98,618951707.63,457033061.43,510604605.66,381759920.87,530763121.5,417831401.74
600032.SH,2163205234.9,862597254.47,3639035906.15,1498791661.84,3494252999.27,1608346002.45,3916160021.15,1937965811.78,3855154539.12,2130477166.43
300965.SZ,144797343.52,55465659.77,97604597.44,42643953.39,141815235.43,66205676.35,118894766.9,69650115.05,146657641.28,80223633.3
688055.SH,4466210233.63,3186564643.03,3336853722.81,2681120235.2,2765985329.53,2591713284.35,2638152771.61,2450961947.24,1903498878.88,1785860216.29
688215.SH,112593976.68,73919806.52,197771571.71,141539046.15,249352225.58,165550447.45,247902047.91,173236422.19,273195278.02,193967166.38
688335.SH,177360814.26,107203244.41,490810821.91,334320785.96,350594351.64,225675233.33,134224213.43,93882321.65,201121659.33,149617744.86
688185.SH,3085775466.38,1046603838.77,707395000.0,241686000.0,175631799.9,172718572.7,567077966.63,146284212.1,692568069.77,133857059.38
300947.SZ,693249581.64,430531291.73,588633910.93,314214899.72,830598769.32,567261988.85,947298514.26,623940677.49,909307605.13,634167075.41
688289.SH,3267195316.27,825892413.15,4068233187.27,1653664047.59,632543388.93,197785471.82,1032580636.67,232314189.76,1244138989.62,336216232.56
688519.SH,3165796322.97,2582568682.82,2750487643.14,2501791590.56,2293173213.67,2188633706.08,2444406526.05,2226719287.53,3663333868.72,3249642580.32
688550.SH,1133206981.44,741417834.77,1188908296.26,734785120.72,931979254.99,612446866.29,1093434243.13,619998222.15,1301339713.58,681398253.15
