ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025,name
600078.SH,20260518,16.22,9.5893,16.4756,0.88,1295.768,152.52,6.4419,3.0526,3.0106,,,67681.2861,66257.2861,38563.8247,1097790.4605,1074693.1805,5240945800.78,5266795436.62,0.0,0.0,737714.75,0.0,5476213487.0,2981931556.48,0.0,0.0,737714.75,0.0,5183209949.57,2903534166.2,0.0,0.0,737714.75,0.0,5295394561.55,3064656581.28,0.0,0.0,954641.07,0.0,5534042599.02,3419240459.43,0.0,0.0,954641.07,0.0,2491130164.92,1982429066.17,3650547405.68,2818626167.77,2429495846.63,2246406871.64,2433952778.16,2258790846.77,2655985494.48,2362076558.86,澄星股份
600081.SH,20260518,12.4,3.774,14.9556,2.0,364.0172,300.0607,1.4832,1.093,1.1234,0.4032,0.4032,55302.617,55302.617,13955.4119,685752.4508,685752.4508,9571325192.1,5755124857.6,0.0,0.0,1785240.82,0.0,9241809969.03,5223422551.16,0.0,0.0,1785240.82,0.0,10399096064.98,4957593656.88,0.0,0.0,1785240.82,0.0,9717742731.54,4269941388.93,0.0,0.0,1785240.82,0.0,10029241336.29,4535575004.86,0.0,0.0,1785240.82,0.0,5697473275.26,4899716381.14,5098084800.05,4411488323.5,5062633598.29,4478271344.73,5064707624.87,4459736593.16,4882725420.04,4259285544.86,东风科技
600085.SH,20260518,26.3,1.0799,2.271,1.86,30.3266,33.4491,2.5608,2.0902,2.1671,1.9011,1.9011,137147.0262,137147.0262,65216.1722,3606966.7891,3606966.7891,24265304267.66,8006368860.41,0.0,0.0,43069217.84,0.0,26717312961.64,9009653504.07,0.0,0.0,45692795.52,0.0,29512237252.72,9594453591.08,0.0,0.0,46345126.86,0.0,31238818228.45,10732031081.6,0.0,0.0,45564037.72,0.0,31819049684.38,10364758909.46,0.0,0.0,46117397.71,0.0,10683183324.41,5559375304.15,10900279219.19,5625881441.54,13721380016.26,7370523339.01,13819709536.21,7780359334.92,13307914800.27,7470801785.05,同仁堂
600089.SH,20260518,26.76,2.4782,3.0237,0.44,22.7084,21.9194,1.8791,1.3907,1.3683,0.9282,0.9282,505279.2571,505279.2571,414129.9271,13521272.92,13521272.92,122096230840.63,68307512185.92,0.0,0.0,129641093.62,0.0,152442907864.16,82330592370.82,0.0,0.0,129641093.62,0.0,196269224966.66,109791905007.93,0.0,0.0,129641093.62,0.0,211708175923.02,120249062606.36,0.0,0.0,129641093.62,0.0,224401315345.88,125960667064.09,0.0,0.0,260372027.4,0.0,39105937751.43,28203625693.43,64542455863.95,40280692618.51,73594726842.72,52022431259.08,72280482756.13,58587202552.7,72917637035.65,59598364147.04,特变电工
600094.SH,20260518,4.71,1.3701,2.1306,1.11,76.3214,75.8982,1.0655,4.8744,5.6605,,,232495.0045,212622.995,136726.7511,1095051.4712,1001454.3065,38892149188.05,25069439204.61,0.0,0.0,,0.0,38217744250.66,25605644293.12,0.0,0.0,,0.0,27461354969.92,14101891369.73,0.0,0.0,,0.0,21842265125.06,8747172272.37,0.0,0.0,,0.0,16714648073.35,5960829441.25,0.0,0.0,,0.0,5297877268.33,4423562264.45,3594710287.37,2772273823.71,10228191146.88,8632129937.96,3810903850.37,3214866618.58,1937717956.02,1581378836.67,大名城
600095.SH,20260518,8.88,0.8746,2.8357,0.64,54.7041,57.8274,2.0638,84.8187,150.845,,,285918.7743,285918.7743,88183.9293,2538958.7158,2538958.7158,36846524735.69,24323728023.52,0.0,0.0,1172821763.65,0.0,34688748708.46,22550770083.85,0.0,0.0,1172821763.65,0.0,35560750628.83,23626308239.54,0.0,0.0,1172821763.65,0.0,40585188520.11,28718470901.4,0.0,0.0,1172821763.65,0.0,44493619727.85,32253777469.22,0.0,0.0,1172821763.65,0.0,2163102620.52,2140056988.43,1680625588.28,1663228614.0,507695063.43,500914171.87,410566913.67,405548638.46,234173999.78,222660160.1,湘财股份
600096.SH,20260518,31.61,2.219,3.5998,1.0,11.1762,10.8901,2.4145,1.1902,1.2159,5.0617,4.429,182299.0731,182299.0731,112373.6439,5762473.7007,5762473.7007,56129666971.89,44417769865.51,0.0,0.0,86713377.25,0.0,61634774408.98,42992041637.15,0.0,0.0,86713377.25,0.0,56414874036.6,34812512648.53,0.0,0.0,86713377.25,0.0,50708201340.74,26625298254.58,0.0,0.0,86713377.25,0.0,49969662558.95,23677322737.94,0.0,0.0,86713377.25,0.0,47632123154.69,39848197923.56,56458941202.59,46769214071.48,53302529369.74,45771305802.55,46724088795.92,38787029040.75,37598927790.04,29758995544.58,云天化
600097.SH,20260518,10.02,1.5022,2.6273,1.04,32.6709,93.5497,1.0716,1.0332,1.071,0.7984,0.7984,24093.6559,24093.6559,13776.0021,241418.4321,241418.4321,3128927517.02,1084640837.74,0.0,0.0,104459213.59,0.0,3296227495.99,1232435654.29,0.0,0.0,103756117.59,0.0,3387907934.47,1242336919.8,0.0,0.0,103756117.59,0.0,3206301039.78,984777699.3,0.0,0.0,103756117.59,0.0,3318410450.19,968195041.51,0.0,0.0,103756117.59,0.0,1507723047.62,962053793.98,1231500807.32,818822911.32,1213353362.65,832534736.63,1729761311.46,1256289553.9,1699680102.95,1131597012.47,开创国际
600098.SH,20260518,7.46,1.2085,4.5551,0.85,11.2759,10.8858,0.9413,0.5144,0.506,4.9602,4.9602,350586.4981,350586.4981,93012.056,2615375.2758,2615375.2758,50356331875.06,28587820267.64,0.0,0.0,1256712103.22,0.0,59698747376.19,32838329913.49,0.0,0.0,1262914535.9,0.0,67993071066.16,40049721095.14,0.0,0.0,1475612178.54,0.0,78138903376.17,48750590055.15,0.0,0.0,1508632282.65,0.0,82271086374.24,51693933458.21,0.0,0.0,1415585412.26,0.0,28112942723.94,26309759473.56,35495986411.09,32829258198.01,32816094595.11,29145113379.82,35971243316.74,32257060130.76,37933964681.65,34680533947.0,广州发展
600099.SH,20260518,11.16,2.103,3.6323,0.84,99.5971,96.9583,4.4382,2.1617,2.0614,0.2688,0.2688,21912.0,21912.0,12686.308,244537.92,244537.92,724477245.2,234949080.38,0.0,0.0,,0.0,787987008.65,287355504.98,0.0,0.0,,0.0,876724119.31,369319171.42,0.0,0.0,,0.0,1037508225.91,520093029.28,0.0,0.0,,0.0,1137311806.93,602008595.66,0.0,0.0,,0.0,568776652.41,518712199.08,534296436.03,473079760.64,527784110.12,444010915.41,761884459.07,660988937.03,801365638.59,695115803.87,林海股份
